Дата,Заражений,date
12.03.2020,21,72
13.03.2020,26,73
14.03.2020,35,74
15.03.2020,35,75
16.03.2020,53,76
17.03.2020,55,77
18.03.2020,86,78
19.03.2020,98,79
20.03.2020,131,80
21.03.2020,137,81
22.03.2020,191,82
23.03.2020,262,83
24.03.2020,290,84
25.03.2020,410,85
26.03.2020,546,86
27.03.2020,703,87
28.03.2020,817,88
29.03.2020,1014,89
30.03.2020,1226,90
31.03.2020,1613,91
01.04.2020,1880,92
02.04.2020,2475,93
03.04.2020,2923,94
04.04.2020,3357,95
05.04.2020,3893,96
06.04.2020,4484,97
07.04.2020,5181,98
08.04.2020,5841,99
09.04.2020,6698,100
10.04.2020,7822,101
11.04.2020,8852,102
12.04.2020,10158,103
13.04.2020,11513,104
14.04.2020,13002,105
15.04.2020,14776,106
16.04.2020,16146,107
17.04.2020,18105,108
18.04.2020,20754,109
19.04.2020,24324,110
20.04.2020,26350,111
21.04.2020,29433,112
22.04.2020,31981,113
23.04.2020,33940,114
24.04.2020,36897,115
25.04.2020,39509,116
26.04.2020,42480,117
27.04.2020,45351,118
28.04.2020,48426,119
29.04.2020,50646,120
30.04.2020,53739,121
01.05.2020,57300,122
02.05.2020,62658,123
03.05.2020,68606,124
04.05.2020,74401,125
05.05.2020,80115,126
06.05.2020,85973,127
07.05.2020,92676,128
08.05.2020,98522,129
09.05.2020,104189,130
10.05.2020,109740,131
11.05.2020,115909,132
12.05.2020,121301,133
13.05.2020,126004,134
14.05.2020,130716,135
15.05.2020,135464,136
16.05.2020,138969,137
17.05.2020,142824,138
18.05.2020,146062,139
19.05.2020,149607,140
20.05.2020,152306,141
21.05.2020,155219,142
22.05.2020,158207,143
23.05.2020,161397,144
24.05.2020,163913,145
25.05.2020,166473,146
26.05.2020,169303,147
27.05.2020,171443,148
28.05.2020,173497,149
29.05.2020,175829,150
30.05.2020,178196,151
31.05.2020,180791,152
01.06.2020,183088,153
02.06.2020,185374,154
03.06.2020,187216,155
04.06.2020,189214,156
05.06.2020,191069,157
06.06.2020,193061,158
07.06.2020,195017,159
08.06.2020,197018,160
09.06.2020,198590,161
10.06.2020,199785,162
11.06.2020,201221,163
12.06.2020,202935,164
13.06.2020,204428,165
14.06.2020,205905,166
15.06.2020,207264,167
16.06.2020,208680,168
17.06.2020,209745,169
18.06.2020,210785,170
19.06.2020,211921,171
20.06.2020,212978,172
21.06.2020,213946,173
22.06.2020,215014,174
23.06.2020,216095,175
24.06.2020,216906,176
25.06.2020,217791,177
26.06.2020,218604,178
27.06.2020,219354,179
28.06.2020,220071,180
29.06.2020,220853,181
30.06.2020,221598,182
01.07.2020,222209,183
02.07.2020,222871,184
03.07.2020,223530,185
04.07.2020,224210,186
05.07.2020,224860,187
06.07.2020,225545,188
07.07.2020,226174,189
08.07.2020,226795,190
09.07.2020,227363,191
10.07.2020,228000,192
11.07.2020,228678,193
12.07.2020,229357,194
13.07.2020,230029,195
14.07.2020,230642,196
15.07.2020,231270,197
16.07.2020,231801,198
17.07.2020,232376,199
18.07.2020,232954,200
19.07.2020,233545,201
20.07.2020,234123,202
21.07.2020,234725,203
22.07.2020,235363,204
23.07.2020,235971,205
24.07.2020,236616,206
25.07.2020,237264,207
26.07.2020,237947,208
27.07.2020,238641,209
28.07.2020,239315,210
29.07.2020,239986,211
30.07.2020,240664,212
31.07.2020,241359,213
01.08.2020,242049,214
02.08.2020,242713,215
03.08.2020,243406,216
04.08.2020,244097,217
05.08.2020,244784,218
06.08.2020,245468,219
07.08.2020,246154,220
08.08.2020,246845,221
09.08.2020,247534,222
10.08.2020,248228,223
11.08.2020,248922,224
12.08.2020,249611,225
13.08.2020,250303,226
14.08.2020,250991,227
15.08.2020,251686,228
16.08.2020,252374,229
17.08.2020,253064,230
18.08.2020,253757,231
19.08.2020,254448,232
20.08.2020,255136,233
21.08.2020,255826,234
22.08.2020,256513,235
23.08.2020,257124,236
24.08.2020,257749,237
25.08.2020,258430,238
26.08.2020,259070,239
27.08.2020,259707,240
28.08.2020,260361,241
29.08.2020,261038,242
30.08.2020,261733,243
31.08.2020,262418,244
01.09.2020,263059,245
02.09.2020,263684,246
03.09.2020,264374,247
04.09.2020,265066,248
05.09.2020,265737,249
06.09.2020,266357,250
07.09.2020,267047,251
08.09.2020,267742,252
09.09.2020,268384,253
10.09.2020,269079,254
11.09.2020,269777,255
12.09.2020,270447,256
13.09.2020,271097,257
14.09.2020,271793,258
15.09.2020,272523,259
16.09.2020,273273,260
17.09.2020,274003,261
18.09.2020,274808,262
19.09.2020,275633,263
20.09.2020,276493,264
21.09.2020,277408,265
22.09.2020,278388,266
23.09.2020,279358,267
24.09.2020,280408,268
25.09.2020,281968,269
26.09.2020,283760,270
27.09.2020,285776,271
28.09.2020,287993,272
29.09.2020,290293,273
30.09.2020,292601,274
01.10.2020,295025,275
02.10.2020,297729,276
03.10.2020,300613,277
04.10.2020,303940,278
05.10.2020,307477,279
06.10.2020,311559,280
07.10.2020,314788,281
08.10.2020,318111,282
09.10.2020,321812,283
10.10.2020,325917,284
11.10.2020,330418,285
12.10.2020,334813,286
13.10.2020,339431,287
14.10.2020,344004,288
15.10.2020,347946,289
16.10.2020,352995,290
17.10.2020,357643,291
18.10.2020,362253,292
19.10.2020,367629,293
20.10.2020,372628,294
21.10.2020,377017,295
22.10.2020,381430,296
23.10.2020,386908,297
24.10.2020,391361,298
25.10.2020,395816,299
26.10.2020,401040,300
27.10.2020,405352,301
28.10.2020,409022,302
29.10.2020,413928,303
30.10.2020,419196,304
31.10.2020,424148,305
01.11.2020,429409,306
02.11.2020,434205,307
03.11.2020,439355,308
04.11.2020,445181,309
05.11.2020,450436,310
06.11.2020,456689,311
07.11.2020,462518,312
08.11.2020,468269,313
09.11.2020,475166,314
10.11.2020,481068,315
11.11.2020,485545,316
12.11.2020,491542,317
13.11.2020,497516,318
14.11.2020,503943,319
15.11.2020,510214,320
16.11.2020,516574,321
17.11.2020,522456,322
18.11.2020,526630,323
19.11.2020,533068,324
20.11.2020,539970,325
21.11.2020,547138,326
22.11.2020,553713,327
23.11.2020,560579,328
24.11.2020,566417,329
25.11.2020,571102,330
26.11.2020,577177,331
27.11.2020,585095,332
28.11.2020,592415,333
29.11.2020,599213,334
30.11.2020,605724,335
01.12.2020,612248,336
02.12.2020,617439,337
03.12.2020,625189,338
04.12.2020,632057,339
05.12.2020,640050,340
